Field1,Field2,Field3,Field4,Field5,Field6
31,-56.27006781,46.96888205,0.442664854,0.011819229,2020-09-06
31,-56.27128904,46.8789005,0.442664854,0.011819229,2020-09-06
31,-56.40251964,46.87966066,0.442664854,0.011819229,2020-09-06
32,-56.27128904,46.8789005,0.442655744,0.011818724,2020-09-06
32,-56.27006781,46.96888205,0.442655744,0.011818724,2020-09-06
32,-56.13862323,46.96796862,0.442655744,0.011818724,2020-09-06
32,-56.1400643,46.87798992,0.442655744,0.011818724,2020-09-06
32,-56.27128904,46.8789005,0.442655744,0.011818724,2020-09-06
33,-56.00884649,46.87692894,0.4426326,0.011817441,2020-09-06
33,-56.0071856,46.96690432,0.4426326,0.011817441,2020-09-06
33,-55.87575599,46.96568918,0.4426326,0.011817441,2020-09-06
33,-55.87763665,46.87571759,0.4426326,0.011817441,2020-09-06
33,-56.00884649,46.87692894,0.4426326,0.011817441,2020-09-06
34,-55.87763665,46.87571759,0.442618568,0.011816664,2020-09-06
34,-55.87575599,46.96568918,0.442618568,0.011816664,2020-09-06
34,-55.74433548,46.96432321,0.442618568,0.011816664,2020-09-06
34,-55.74643585,46.87435589,0.442618568,0.011816664,2020-09-06
34,-55.87763665,46.87571759,0.442618568,0.011816664,2020-09-06
35,-55.74643585,46.87435589,0.442602896,0.011815795,2020-09-06
35,-55.74433548,46.96432321,0.442602896,0.011815795,2020-09-06
35,-55.61292511,46.96280645,0.442602896,0.011815795,2020-09-06
35,-55.61524512,46.87284386,0.442602896,0.011815795,2020-09-06
35,-55.74643585,46.87435589,0.442602896,0.011815795,2020-09-06
36,-55.61524512,46.87284386,0.442585585,0.011814836,2020-09-06
36,-55.61292511,46.96280645,0.442585585,0.011814836,2020-09-06
36,-55.48152594,46.96113892,0.442585585,0.011814836,2020-09-06
36,-55.48406554,46.87118154,0.442585585,0.011814836,2020-09-06
36,-55.61524512,46.87284386,0.442585585,0.011814836,2020-09-06
37,-55.48406554,46.87118154,0.442566633,0.011813786,2020-09-16
37,-55.48152594,46.96113892,0.442566633,0.011813786,2020-09-16
37,-55.35013904,46.95932067,0.442566633,0.011813786,2020-09-16
37,-55.35289815,46.86936896,0.442566633,0.011813786,2020-09-16
37,-55.48406554,46.87118154,0.442566633,0.011813786,2020-09-16
38,-55.35289815,46.86936896,0.442546043,0.011812645,2020-09-16
38,-55.35013904,46.95932067,0.442546043,0.011812645,2020-09-16
38,-55.21876547,46.95735173,0.442546043,0.011812645,2020-09-16
38,-55.221744,46.86740616,0.442546043,0.011812645,2020-09-16
38,-55.35289815,46.86936896,0.442546043,0.011812645,2020-09-16
39,-54.30412411,46.84946416,0.442322331,0.01180026,2019-09-19
39,-54.29961235,46.93935357,0.442322331,0.01180026,2019-09-19
39,-54.16838341,46.93618082,0.442322331,0.01180026,2019-09-19
39,-54.17311373,46.8463013,0.442322331,0.01180026,2019-09-19
39,-54.30412411,46.84946416,0.442322331,0.01180026,2019-09-19
40,-54.04212603,46.8429887,0.442250029,0.01179626,2019-09-19
40,-54.03717728,46.93285786,0.442250029,0.01179626,2019-09-19
40,-53.90599503,46.92938474,0.442250029,0.01179626,2019-09-19
40,-53.91116205,46.83952641,0.442250029,0.01179626,2019-09-19
40,-54.04212603,46.8429887,0.442250029,0.01179626,2019-09-19
41,-53.91116205,46.83952641,0.442211426,0.011794125,2019-09-19
41,-53.90599503,46.92938474,0.442211426,0.011794125,2019-09-19
41,-53.7748377,46.92576156,0.442211426,0.011794125,2019-09-19
41,-53.78022284,46.83591452,0.442211426,0.011794125,2019-09-19
41,-53.91116205,46.83952641,0.442211426,0.011794125,2019-09-19
42,-53.78022284,46.83591452,0.442171186,0.011791901,2019-09-19
42,-53.7748377,46.92576156,0.442171186,0.011791901,2019-09-19
42,-53.64370632,46.92198837,0.442171186,0.011791901,2019-09-19
42,-53.64930945,46.83215309,0.442171186,0.011791901,2019-09-19
42,-53.78022284,46.83591452,0.442171186,0.011791901,2019-09-19
43,-53.64930945,46.83215309,0.442129313,0.011789586,2019-09-19
43,-53.64370632,46.92198837,0.442129313,0.011789586,2019-09-19
43,-53.51260196,46.91806526,0.442129313,0.011789586,2019-09-19
43,-53.5184229,46.82824221,0.442129313,0.011789586,2019-09-19
43,-53.64930945,46.83215309,0.442129313,0.011789586,2019-09-19
44,-52.99516594,46.81110574,0.441895445,0.011776668,2019-09-19
44,-52.9884755,46.90087523,0.441895445,0.011776668,2019-09-19
44,-52.85752184,46.89620377,0.441895445,0.011776668,2019-09-19
44,-52.86442919,46.80644882,0.441895445,0.011776668,2019-09-19
44,-52.99516594,46.81110574,0.441895445,0.011776668,2019-09-19
45,-56.53297363,46.97025623,0.443110458,0.011839296,2020-09-06
45,-56.53218845,47.06024065,0.443110458,0.011839296,2020-09-06
45,-56.40051214,47.05962709,0.443110458,0.011839296,2020-09-06
45,-56.40151831,46.96964459,0.443110458,0.011839296,2020-09-06
45,-56.53297363,46.97025623,0.443110458,0.011839296,2020-09-06
46,-56.40151831,46.96964459,0.44310297,0.01183888,2020-09-06
46,-56.40051214,47.05962709,0.44310297,0.01183888,2020-09-06
46,-56.26884069,47.05886216,0.44310297,0.01183888,2020-09-06
46,-56.27006781,46.96888205,0.44310297,0.01183888,2020-09-06
46,-56.40151831,46.96964459,0.44310297,0.01183888,2020-09-06
47,-56.27006781,46.96888205,0.443093836,0.011838373,2020-09-06
47,-56.26884069,47.05886216,0.443093836,0.011838373,2020-09-06
47,-56.13717518,47.05794587,0.443093836,0.011838373,2020-09-06
47,-56.13862323,46.96796862,0.443093836,0.011838373,2020-09-06
47,-56.27006781,46.96888205,0.443093836,0.011838373,2020-09-06
48,-56.0071856,46.96690432,0.443070639,0.011837086,2020-09-06
48,-56.00551668,47.05687824,0.443070639,0.011837086,2020-09-06
48,-55.87386625,47.05565929,0.443070639,0.011837086,2020-09-06
48,-55.87575599,46.96568918,0.443070639,0.011837086,2020-09-06
48,-56.0071856,46.96690432,0.443070639,0.011837086,2020-09-06
49,-55.35013904,46.95932067,0.442983872,0.01183227,2020-09-16
49,-55.34736661,47.04927084,0.442983872,0.01183227,2020-09-16
49,-55.21577255,47.04729573,0.442983872,0.01183227,2020-09-16
49,-55.21876547,46.95735173,0.442983872,0.01183227,2020-09-16
49,-55.35013904,46.95932067,0.442983872,0.01183227,2020-09-16
50,-55.21876547,46.95735173,0.442961586,0.011831034,2020-09-16
50,-55.21577255,47.04729573,0.442961586,0.011831034,2020-09-16
50,-55.08419295,47.0451695,0.442961586,0.011831034,2020-09-16
50,-55.08740628,46.95523213,0.442961586,0.011831034,2020-09-16
50,-55.21876547,46.95735173,0.442961586,0.011831034,2020-09-16
51,-54.29961235,46.93935357,0.442759615,0.011819836,2019-09-19
51,-54.29507882,47.02924124,0.442759615,0.011819836,2019-09-19
51,-54.16363027,47.02605856,0.442759615,0.011819836,2019-09-19
51,-54.16838341,46.93618082,0.442759615,0.011819836,2019-09-19
51,-54.29961235,46.93935357,0.442759615,0.011819836,2019-09-19
52,-54.16838341,46.93618082,0.442724197,0.011817874,2019-09-19
52,-54.16363027,47.02605856,0.442724197,0.011817874,2019-09-19
52,-54.03220467,47.0227252,0.442724197,0.011817874,2019-09-19
52,-54.03717728,46.93285786,0.442724197,0.011817874,2019-09-19
52,-54.16838341,46.93618082,0.442724197,0.011817874,2019-09-19
53,-53.90599503,46.92938474,0.442648439,0.011813678,2019-09-19
53,-53.90080309,47.01924122,0.442648439,0.011813678,2019-09-19
